129734;129734;Avinguda de Madrid;attraction;41.382.027.025.961;21.360.981.176.224;Barcelona;Plaça del Centre;4adcda5ef964a520844421e3;0;Park;http://tour-pedia.org/api/getPlaceDetails?id=129734;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129734;;;
attraction;129736;Passeig Olímpic; 17-19;129736;41.364.763.618.563;21.555.948.257.446;Barcelona;Estadi Olímpic Lluís Companys;4adcda5ff964a5208f4421e3;0;Stadium;http://tour-pedia.org/api/getPlaceDetails?id=129736;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129736;;
129744;129744;Passeig Vall d'Hebron 178;attraction;41.429.191.870.034;21.459.908.707.056;Barcelona;Centre Municipal de Tennis Vall d'Hebron;4adcda61f964a520a94421e3;0;Other Great Outdoors;http://tour-pedia.org/api/getPlaceDetails?id=129744;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129744;;;
129746;129746;Avinguda  Estadi 30;attraction;41.365.989.643.701;21.511.515.038.045;Barcelona;Piscines Bernat Picornell;4adcda61f964a520ae4421e3;0;Pool;http://tour-pedia.org/api/getPlaceDetails?id=129746;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129746;;;
129747;129747;Avenida Litoral s/n;attraction;4.134.885.056;214.731.216;Barcelona;Base Nàutica (La);4adcda61f964a520af4421e3;0;Lake;http://tour-pedia.org/api/getPlaceDetails?id=129747;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129747;;;
129758;129758;Carrer Sant Pau 119;attraction;41.375.370.177.331;21.678.700.755.877;Barcelona;La Confitería;4af59dd1f964a5205ffa21e3;0;Bar;http://tour-pedia.org/api/getPlaceDetails?id=129758;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129758;;;
129762;129762;Mandri 58;attraction;41.404.837;2.132.054;Barcelona;Bar Mandri;4b032354f964a520f24c22e3;0;Cocktail Bar;http://tour-pedia.org/api/getPlaceDetails?id=129762;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129762;;;
129769;129769;Avinguda de la Catedral;attraction;41.385.358.405.352;21.766.084.209.919;Barcelona;Avinguda de la Catedral;4b0e9a42f964a520da5823e3;0;Plaza;http://tour-pedia.org/api/getPlaceDetails?id=129769;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129769;;;
129777;129777;Plaça Urquinaona;attraction;41.388.738.593.811;2.172.771.692.276;Barcelona;Plaça d'Urquinaona;4b1277c0f964a520108a23e3;0;Plaza;http://tour-pedia.org/api/getPlaceDetails?id=129777;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129777;;;
129778;129778;C/ Aribau 33;attraction;4.138.731.721.603;21.603.615.406.447;Barcelona;Axel Hotel;4b127c3af964a5202c8a23e3;0;Hotel;http://tour-pedia.org/api/getPlaceDetails?id=129778;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=129778;;;
