address;addres limpiado 1;category;id;Columna4;lat;lng;location;name;originalId;polarity;subCategory;details;reviews;Columna1;Columna2;Columna3
494909;Manuel Piñera Penalva;Manuel Piñera Penalva;Carrer de Campoamor, 13, Barcelona, Spain;494909;poi;Barcelona;41.433.152;2.157.418;http://tour-pedia.org/api/getPlaceDetails?id=494909;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494909;;;;;;
494910;Plaça de Karl Marx;Plaça de Karl Marx;Spain;494910;poi;Barcelona;41.439.446;2.162.462;http://tour-pedia.org/api/getPlaceDetails?id=494910;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494910;;;;;;
494911;Congrés-Doctor Letamendi;Congrés-Doctor Letamendi;Spain;494911;poi;Barcelona;41.437.004;2.160.928;http://tour-pedia.org/api/getPlaceDetails?id=494911;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494911;;;;;;
494912;Feliu i Codina-Congrès;Feliu i Codina-Congrès;Spain;494912;poi;Barcelona;41.436.115;2.163.009;http://tour-pedia.org/api/getPlaceDetails?id=494912;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494912;;;;;;
494913;Lloret de Mar-Eduard Toda;Lloret de Mar-Eduard Toda;Spain;494913;poi;Barcelona;41.435.698;2.157.321;http://tour-pedia.org/api/getPlaceDetails?id=494913;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494913;;;;;;
494914;Porrera-Canigó;Porrera-Canigó;Spain;494914;poi;Barcelona;41.436.879;2.158.589;http://tour-pedia.org/api/getPlaceDetails?id=494914;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494914;;;;;;
494915;Pg de Fabra i Puig-Pg d'Urrutia;Pg de Fabra i Puig-Pg d'Urrutia;Spain;494915;poi;Barcelona;41.435.582;2.163.869;http://tour-pedia.org/api/getPlaceDetails?id=494915;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494915;;;;;;
494916;Pg de la Vall d'Hebron-Scala Dei;Pg de la Vall d'Hebron-Scala Dei;Spain;494916;poi;Barcelona;41.439.129;2.157.801;http://tour-pedia.org/api/getPlaceDetails?id=494916;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494916;;;;;;
494917;Dr Letamendi-Canigó;Dr Letamendi-Canigó;Spain;494917;poi;Barcelona;41.435.483;2.159.946;http://tour-pedia.org/api/getPlaceDetails?id=494917;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494917;;;;;;
494918;Ctra d'Horta-Ronda de Dalt;Ctra d'Horta-Ronda de Dalt;Spain;494918;poi;Barcelona;4.143.964;2.154.393;http://tour-pedia.org/api/getPlaceDetails?id=494918;http://tour-pedia.org/api/getReviewsByPlaceId?placeId=494918;;;;;;
